species,fastq,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Trypanosoma brucei,22533,22533,Eukaryota,Eukaryota_Incertae_sedis,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,Trypanosoma,Eukaryota;Eukaryota_Incertae_sedis;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Trypanosoma;Trypanosoma brucei
Curtobacterium flaccumfaciens,13376,13376,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium flaccumfaciens
Homo sapiens,10923,10923,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Eukaryota;Metazoa;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
Escherichia coli,6582,6582,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
Salmonella enterica,178,178,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
Zingiber officinale,144,144,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Zingiber,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Zingiber;Zingiber officinale
Klebsiella quasipneumoniae,78,78,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella quasipneumoniae
Citrobacter freundii,68,68,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
Asparagus officinalis,55,55,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Asparagus;Asparagus officinalis
Mus musculus mobilized endogenous polytropic provirus,48,48,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Viruses;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Gammaretrovirus;Mus musculus mobilized endogenous polytropic provirus
Pasteurella multocida,44,44,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida
Capsicum annuum,29,29,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Capsicum;Capsicum annuum
Triticum dicoccoides,28,28,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum dicoccoides
Helianthus annuus,26,26,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Helianthus;Helianthus annuus
Nicotiana attenuata,26,26,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Nicotiana;Nicotiana attenuata
Pisum sativum,25,25,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Pisum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Pisum;Pisum sativum
Escherichia albertii,24,24,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii
Arachis hypogaea,21,21,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Arachis;Arachis hypogaea
Kordiimonas pumila,20,20,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;Kordiimonas pumila
Juglans microcarpa x Juglans regia,20,20,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Juglandaceae;Juglans;Juglans microcarpa x Juglans regia
Triticum aestivum,20,20,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum aestivum