	Sample_size_TrypOnly	Richness_TrypOnly		Sample_size_TrypBlood_1	Richness_TrypBlood_1		Sample_size_TrypBlood_Control	Richness_TrypBlood_Control		Sample_size_TrypBlood_2	Richness_TrypBlood_2		Sample_size_Feces_Control	Richness_Feces_Control		Sample_size_Feces_Infected	Richness_Feces_Infected
TrypOnly	0	0	TrypBlood_1	0	0	TrypBlood_Control	0	0	TrypBlood_2	0	0	Feces_Control	0	0	Feces_Infected	0	0
	12916	75		33582	135		2927	5		34423	87		106503	1150		382220	1302
	25833	112		67165	183		5854	6		68846	130		213006	1779		764441	1968
	38749	142		100747	233		8782	10		103269	164		319509	2259		1146662	2508
	51666	167		134330	275		11709	11		137693	199		426012	2688		1528883	2941
	64582	188		167913	313		14637	13		172116	213		532515	3029		1911104	3288
	77499	214		201495	344		17564	14		206539	236		639018	3332		2293325	3612
	90415	228		235078	381		20492	15		240963	252		745521	3600		2675546	3894
	103332	241		268661	415		23419	20		275386	276		852024	3832		3057767	4119
	116248	258		302243	446		26346	18		309809	294		958527	4052		3439988	4327
	129165	271		335826	472		29274	22		344232	313		1065030	4233		3822209	4535
	142081	286		369409	499		32201	22		378656	331		1171533	4415		4204430	4696
	154998	299		402991	532		35129	24		413079	348		1278036	4565		4586651	4868
	167914	310		436574	556		38056	26		447502	365		1384539	4712		4968872	5001
	180831	324		470157	583		40984	27		481926	379		1491043	4839		5351093	5139